"Időbélyeg","Are you from the Netherlands, or have you been living there for a minimum of 1 year?","1. I am concerned when the environment is damaged, even if it does not directly affect me. (1 = does not apply to me at all, 6 = applies to me completely)","2. I believe it is important that my decisions do not harm those around me or future generations. 
(1 = does not apply to me at all, 6 = applies to me completely)","3. I strive to follow rules and standards that serve the good of the community or society as a whole.
(1 = does not apply to me at all, 6 = applies to me completely)","4. I believe it is important for society to continue to function within a sustainable and stable framework in the future. 
(1 = does not apply to me at all, 6 = applies to me completely)","5. What can you do with a broken, unused smartphone? Select all the options you think are correct!","6. Have you ever heard of the term ""e-waste"" or WEEE?","7. Have you ever participated in any programs or initiatives—including online ones—that provide information on the proper disposal of e-waste?","8. If you answered “No” to the previous question, would you be interested in attending similar events if you had the opportunity?","1. How often do you replace the following items before they are completely worn out?     [Small appliances]","1. How often do you replace the following items before they are completely worn out?     [Personal IT devices]","1. How often do you replace the following items before they are completely worn out?     [Large household appliances]","2. Have you ever purchased a used or refurbished device in the following categories?  [Small appliances]","2. Have you ever purchased a used or refurbished device in the following categories?  [Personal IT devices]","2. Have you ever purchased a used or refurbished device in the following categories?  [Large household appliances]","3. If so, what was your main reason? Please select an answer only for the device types for which you answered ""Yes"" to the previous question! [Small appliances]","3. If so, what was your main reason? Please select an answer only for the device types for which you answered ""Yes"" to the previous question! [Personal IT devices]","3. If so, what was your main reason? Please select an answer only for the device types for which you answered ""Yes"" to the previous question! [Large household appliances]","4. If you didn’t buy secondhand, what held you back?  Please select an answer only for the device types for which you answered ""No"" to the previous question! [Small appliances]","4. If you didn’t buy secondhand, what held you back?  Please select an answer only for the device types for which you answered ""No"" to the previous question! [Personal IT devices]","4. If you didn’t buy secondhand, what held you back?  Please select an answer only for the device types for which you answered ""No"" to the previous question! [Large household appliances]","5. Have you ever used any of the following services? [Equipment rental for electronic products (e.g., monthly fee for a washing machine)]","5. Have you ever used any of the following services? [Shared use of electronis products (e.g., tool library)]","6. How open would you be to renting or sharing an electronic device in the future instead of owning it?  [Small appliances]","6. How open would you be to renting or sharing an electronic device in the future instead of owning it?  [Personal IT devices]","6. How open would you be to renting or sharing an electronic device in the future instead of owning it?  [Large household appliances ]","7. When purchasing the following electronic devices, do you consider their durability or repairability to be important? [Small appliances]","7. When purchasing the following electronic devices, do you consider their durability or repairability to be important? [Personal IT devices]","7. When purchasing the following electronic devices, do you consider their durability or repairability to be important? [Large household appliances]","1. If an electronic device breaks down, do you usually have it repaired?  [Small appliances]","1. If an electronic device breaks down, do you usually have it repaired?  [Personal IT devices]","1. If an electronic device breaks down, do you usually have it repaired?  [Large household appliances]","If you don't get a small appliance repaired, what's usually the reason? ","If you don't get a personal IT device repaired, what's usually the reason? ","If you don't get a large household appliance repaired, what's usually the reason? ","What would most encourage you to have the product repaired rather than replaced? (You may select up to 2 answers, and also add your own answer at the last option)","4. Do you usually fix minor problems yourself? ","5. To what extent are you willing to continue using an electronic device after it has been fully repaired?  [Small appliances]","5. To what extent are you willing to continue using an electronic device after it has been fully repaired?  [Personal IT devices]","5. To what extent are you willing to continue using an electronic device after it has been fully repaired?  [Large household appliances]","6. To what extent are you willing to continue using an electronic device that has been repaired, but has some minor issues remained (e.g., slow performance, scratched or dented exterior, etc.)?  [Small appliances]","6. To what extent are you willing to continue using an electronic device that has been repaired, but has some minor issues remained (e.g., slow performance, scratched or dented exterior, etc.)?  [Personal IT devices]","6. To what extent are you willing to continue using an electronic device that has been repaired, but has some minor issues remained (e.g., slow performance, scratched or dented exterior, etc.)?  [Large household appliances]","1. When you no longer wish to use a small device, what usually happens to it?","2. If you no longer want to use a personal IT device, what usually happens to it?","3. If you no longer want to use a large household appliance, what usually happens to it?","4. Do you know where the nearest e-waste drop-off location is near where you live?","5. What would encourage you to take the device to the appropriate place instead of keeping it at home or throwing it away? (You may select up to 2 answers, and also add your own answer at the last option)","6. What’s stopping you from dropping-off your unwanted items at a collection point? ","7. Would you be willing to do more in the future to ensure that your electronic devices are disposed of properly? ","Gender: ","Age: ","Highest level of finished education:","Current occupation:","Place of residence: ","Your household's monthly net income (in EUR)","Your household size"
"2026/04/16 3:23:25 du. GMT+3","","6","6","6","6","I drop it off at a designated e-waste collection point;I'm selling it, or I give it to someone who can still use it;I put it in the drawer where I keep other similar items","Yes","No","No","2","1 = never","1 = never","Yes","Yes","No","Better price","Better price","Better price","Quality concerns;The price wasn't worth it","Quality concerns;The price wasn't worth it","Quality concerns;The price wasn't worth it","No","Yes","1 = not at all","1 = not at all","1 = not at all","2","4","2","2","4","5","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;The parts are not available","Lower repair costs;Easier access to reliable service;Financial incentive (e.g., tax credit, refund);A more convenient process (e.g., in-home service)","Yes","6 = always","6 = always","6 = always","4","1 = never","2","I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend","I'll return it to the store or the manufacturer","Yes","Financial incentive (e.g., as with plastic bottles)","It's too far away / hard to get to","5","Man","18 - 24 years","High School","Student","Large city (population over 100,000)","600–1 000 €","5 or more people"
"2026/04/16 3:50:16 du. GMT+3","","6","6","5","5","I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items","No","No","Maybe","3","5","6 = always","No","No","Yes","","","Better price","Quality concerns;Hygiene concerns","Quality concerns","","No","No","1 = not at all","1 = not at all","1 = not at all","4","6 = completely","6 = completely","1 = never","3","3","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;Data security concerns","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;It takes too much time;The parts are not available","Lower repair costs;Easier access to reliable service","Yes","3","6 = always","6 = always","6 = always","5","4","I'll pass this on to a friend;I sell on online marketplaces for used goods","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods","I'll pass this on to a friend;I sell on online marketplaces for used goods","No","Financial incentive (e.g., as with plastic bottles)","I don't know of a nearby drop-off location","4","Man","18 - 24 years","High School","Student","Large city (population over 100,000)","I do not want to answer","3-4 people"
"2026/04/16 4:19:20 du. GMT+3","","6","6","6","6","I drop it off at a designated e-waste collection point;I  take it back to the store where I bought it;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items;I hand it in to a mobile service provider","Yes","Yes","Maybe","4","4","4","No","No","No","","","","Quality concerns","Quality concerns","Quality concerns","No","No","3","3","3","4","4","4","3","3","3","The cost of the repair is nearly as much as the price of a new product;Data security concerns","The cost of the repair is nearly as much as the price of a new product;Data security concerns","The cost of the repair is nearly as much as the price of a new product;It takes too much time","Lower repair costs;Financial incentive (e.g., tax credit, refund)","Yes","3","3","3","3","3","3","I will take it to a designated e-waste collection point","I will take it to a designated e-waste collection point","I will take it to a designated e-waste collection point","Yes","A closer or more convenient drop-off location","Data security concerns (regarding IT devices)","6","Man","25 - 34 years","Master’s degree or higher (MA/MSc/PhD)","Employee","City (20 000 - 100 000 residents)","I do not want to answer","5 or more people"
"2026/04/16 4:24:10 du. GMT+3","","6","6","6","6","I drop it off at a designated e-waste collection point","Yes","Yes","","3","3","3","No","No","No","","","","Quality concerns","Quality concerns","Quality concerns","No","No","3","1 = not at all","1 = not at all","4","4","4","4","4","4","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product","Lower repair costs;Easier access to reliable service","Yes","6 = always","6 = always","6 = always","2","2","2","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","Yes","Nothing","Data security concerns (regarding IT devices)","6","Woman","45 - 65 years","Master’s degree or higher (MA/MSc/PhD)","Employee","Large city (population over 100,000)","above 2 400 €","3-4 people"
"2026/04/19 2:16:39 du. GMT+3","","4","4","5","5","I drop it off at a designated e-waste collection point;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items","Yes","No","No","2","2","1 = never","Yes","Yes","No","Better price","Better price","Better price","Hygiene concerns;The price wasn't worth it","Quality concerns","Quality concerns","No","No","3","3","3","3","4","4","1 = never","2","4","The cost of the repair is nearly as much as the price of a new product;It takes too much time","It takes too much time","I can't find a reliable repair shop","Lower repair costs;Better environmental awareness;Financial incentive (e.g., tax credit, refund)","Yes","4","4","4","3","3","3","I'll throw it in the regular household trash;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","No","A closer or more convenient drop-off location","I don't know of a nearby drop-off location","5","Woman","18 - 24 years","College / University degree (BA/BSc)","Student","Large city (population over 100,000)","1 001–1 600 €","3-4 people"
"2026/04/19 9:26:54 du. GMT+3","","5","4","4","5","I drop it off at a designated e-waste collection point;I  take it back to the store where I bought it;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible","No","No","Maybe","4","3","4","Yes","Yes","No","It didn't have to be new","Better price","","","","Hygiene concerns","Yes","Yes","2","1 = not at all","3","2","4","4","2","3","4","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop","Data security concerns","It takes too much time","Easier access to reliable service;Better environmental awareness","No","4","4","4","3","3","3","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","No","More/more know places","I don't know of a nearby drop-off location","5","Woman","18 - 24 years","College / University degree (BA/BSc)","Employee","Large city (population over 100,000)","above 2 400 €","5 or more people"
"2026/04/20 3:35:48 du. GMT+3","","5","5","5","5","I drop it off at a designated e-waste collection point;I  take it back to the store where I bought it;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items;I hand it in to a mobile service provider","Yes","Yes","","3","3","2","No","Yes","No","","Sustainability reasons","","Hygiene concerns","","The price wasn't worth it","No","No","2","1 = not at all","2","2","3","4","1 = never","3","3","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product;Data security concerns","The cost of the repair is nearly as much as the price of a new product;The parts are not available","Lower repair costs;A more convenient process (e.g., in-home service)","Yes","2","3","3","1 = never","1 = never","1 = never","I will take it to a designated e-waste collection point","I will take it to a designated e-waste collection point","I will take it to a designated e-waste collection point","Yes","Nothing","I don't think it's important","6","Man","45 - 65 years","College / University degree (BA/BSc)","Entrepreneur","Large city (population over 100,000)","above 2 400 €","5 or more people"
"2026/04/21 9:05:34 de. GMT+3","","2","3","2","5","I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items","No","No","Maybe","3","6 = always","3","No","Yes","No","Better price","Better price","Better price","Quality concerns;The price wasn't worth it","Quality concerns;The price wasn't worth it","Quality concerns;The price wasn't worth it","Yes","Yes","6 = completely","1 = not at all","6 = completely","6 = completely","2","6 = completely","3","6 = always","3","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop","The cost of the repair is nearly as much as the price of a new product","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;It takes too much time","Lower repair costs;Easier access to reliable service;Financial incentive (e.g., tax credit, refund)","Yes","6 = always","6 = always","6 = always","4","2","4","I'll throw it in the regular household trash;I'll pass this on to a friend;I sell on online marketplaces for used goods","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend;I sell on online marketplaces for used goods","I'm keeping it at home; I won't throw it away just yet;I sell on online marketplaces for used goods","Yes","All above","I don't think it's important","5","Man","18 - 24 years","College / University degree (BA/BSc)","Employee","City (20 000 - 100 000 residents)","above 2 400 €","1 person (I live alone)"
"2026/04/21 9:13:17 de. GMT+3","","4","4","6","6","I drop it off at a designated e-waste collection point;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible","Yes","No","Maybe","1 = never","3","1 = never","Yes","Yes","Yes","Better price","Better price","Better price","","","","No","Yes","4","1 = not at all","1 = not at all","4","5","6 = completely","2","2","5","The cost of the repair is nearly as much as the price of a new product;The parts are not available","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;Data security concerns","The cost of the repair is nearly as much as the price of a new product;It takes too much time","Lower repair costs;Easier access to reliable service","Yes","6 = always","6 = always","6 = always","4","4","5","I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","I sell on online marketplaces for used goods","Yes","Financial incentive (e.g., as with plastic bottles)","It's too far away / hard to get to","4","Man","25 - 34 years","College / University degree (BA/BSc)","Employee","Small Town / Village (town or village with fewer than 20,000 residents)","above 2 400 €","3-4 people"
"2026/04/21 10:55:12 de. GMT+3","","5","5","4","5","I'm selling it, or I give it to someone who can still use it;I put it in the drawer where I keep other similar items","Yes","No","Maybe","3","1 = never","2","Yes","Yes","Yes","Better price","Better price","Better price","","","","No","Yes","2","3","2","3","4","4","1 = never","2","2","The cost of the repair is nearly as much as the price of a new product;It takes too much time;The parts are not available","The cost of the repair is nearly as much as the price of a new product;It takes too much time","The cost of the repair is nearly as much as the price of a new product;It takes too much time","Lower repair costs;Financial incentive (e.g., tax credit, refund)","Yes","2","3","4","3","3","3","I'll throw it in the regular household trash;I'll pass this on to a friend;I sell on online marketplaces for used goods","I'll pass this on to a friend;I sell on online marketplaces for used goods","I'll pass this on to a friend;I sell on online marketplaces for used goods;I will take it to a designated e-waste collection point","Yes","Home delivery services","It's too far away / hard to get to","4","Man","18 - 24 years","College / University degree (BA/BSc)","Student","City (20 000 - 100 000 residents)","I do not want to answer","5 or more people"
"2026/04/21 11:03:34 de. GMT+3","","5","6","4","5","I drop it off at a designated e-waste collection point;I have it repaired, if possible;I put it in the drawer where I keep other similar items","No","No","Maybe","3","1 = never","1 = never","Yes","No","Yes","Better price","","Better price","","Quality concerns","","No","No","1 = not at all","1 = not at all","1 = not at all","1 = not at all","3","4","2","2","2","The cost of the repair is nearly as much as the price of a new product;It takes too much time;The parts are not available;Data security concerns","The cost of the repair is nearly as much as the price of a new product;It takes too much time;The parts are not available;Data security concerns","The cost of the repair is nearly as much as the price of a new product;It takes too much time;The parts are not available;Data security concerns","Lower repair costs;Easier access to reliable service","Yes","3","3","3","4","4","4","I'm keeping it at home; I won't throw it away just yet;I'll throw it in the regular household trash","I'm keeping it at home; I won't throw it away just yet;I'll throw it in the regular household trash","I will take it to a designated e-waste collection point","Yes","Home delivery services","It's too far away / hard to get to","3","Man","18 - 24 years","College / University degree (BA/BSc)","Student","Small Town / Village (town or village with fewer than 20,000 residents)","I do not want to answer","5 or more people"
"2026/04/21 11:14:30 de. GMT+3","","5","5","4","4","I put it in the drawer where I keep other similar items","Yes","No","Maybe","2","2","2","Yes","Yes","No","Sustainability reasons","Better price","","","","Quality concerns","No","No","1 = not at all","1 = not at all","1 = not at all","6 = completely","6 = completely","6 = completely","4","5","5","The cost of the repair is nearly as much as the price of a new product;I can't find a reliable repair shop;The parts are not available","I can't find a reliable repair shop;The parts are not available","The parts are not available","Lower repair costs;Easier access to reliable service","Yes","5","4","4","4","3","3","I'm keeping it at home; I won't throw it away just yet","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend","I'm keeping it at home; I won't throw it away just yet;I'll pass this on to a friend","No","Financial incentive (e.g., as with plastic bottles)","I don't think it's important","3","Man","25 - 34 years","College / University degree (BA/BSc)","Employee","Large city (population over 100,000)","above 2 400 €","5 or more people"
"2026/04/21 11:20:59 de. GMT+3","","4","4","5","5","I'll throw it in the regular household trash;I drop it off at a designated e-waste collection point;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible","Yes","No","Yes","3","2","2","No","Yes","No","","Better price","","Hygiene concerns","","Quality concerns","No","No","1 = not at all","1 = not at all","3","1 = not at all","3","3","1 = never","3","2","The cost of the repair is nearly as much as the price of a new product","Data security concerns","I can't find a reliable repair shop","Easier access to reliable service;Financial incentive (e.g., tax credit, refund);A more convenient process (e.g., in-home service)","Yes","4","4","4","3","2","4","I'll throw it in the regular household trash","I'll throw it in the regular household trash;I'll pass this on to a friend","I will take it to a designated e-waste collection point","Yes","Financial incentive (e.g., as with plastic bottles)","It's too far away / hard to get to","5","Man","18 - 24 years","High School","Employee","Large city (population over 100,000)","above 2 400 €","2 people"
"2026/04/21 11:23:34 de. GMT+3","","4","5","2","5","I drop it off at a designated e-waste collection point;I  take it back to the store where I bought it;I'm selling it, or I give it to someone who can still use it;I have it repaired, if possible;I put it in the drawer where I keep other similar items;I hand it in to a mobile service provider","No","No","No","2","2","1 = never","Yes","Yes","Yes","It didn't have to be new","It didn't have to be new","It didn't have to be new","","","","No","Yes","2","2","2","2","2","2","2","4","5","The cost of the repair is nearly as much as the price of a new product","It takes too much time","It takes too much time","Easier access to reliable service;Better environmental awareness","Yes","2","2","2","2","2","2","I'm keeping it at home; I won't throw it away just yet","I'm keeping it at home; I won't throw it away just yet","I'll throw it in the regular household trash","Yes","Home delivery services","Data security concerns (regarding IT devices)","3","Man","25 - 34 years","College / University degree (BA/BSc)","Student","City (20 000 - 100 000 residents)","1 601–2 400 €","3-4 people"
